SEMANTIC INDISCERNABILITY TEST FOR data/YAMATO
http://www.hozo.jp/owl/YAMATO101215.owl#Property is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Concept
http://www.hozo.jp/owl/YAMATO101215.owl#State is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Instance
http://www.hozo.jp/owl/YAMATO101215.owl#State is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Context
http://www.hozo.jp/owl/YAMATO101215.owl#State is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Concept
http://www.hozo.jp/owl/YAMATO101215.owl#m-physical_action is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#do_sports
http://www.hozo.jp/owl/YAMATO101215.owl#film is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#calligraphy
http://www.hozo.jp/owl/YAMATO101215.owl#Instance is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Context
http://www.hozo.jp/owl/YAMATO101215.owl#Instance is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Concept
http://www.hozo.jp/owl/YAMATO101215.owl#difficulty_type_problem is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#quiz_type_problem
http://www.hozo.jp/owl/YAMATO101215.owl#triangle is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#hill
http://www.hozo.jp/owl/YAMATO101215.owl#triangle is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#cube
http://www.hozo.jp/owl/YAMATO101215.owl#depart is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#arrive
http://www.hozo.jp/owl/YAMATO101215.owl#unit_of_time is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#unit_of_area
http://www.hozo.jp/owl/YAMATO101215.owl#unit_of_time is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#unit_of_frequency
http://www.hozo.jp/owl/YAMATO101215.owl#hill is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#cube
http://www.hozo.jp/owl/YAMATO101215.owl#singing is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#walking
http://www.hozo.jp/owl/YAMATO101215.owl#singing is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#sitting
http://www.hozo.jp/owl/YAMATO101215.owl#bend is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#shrink
http://www.hozo.jp/owl/YAMATO101215.owl#bend is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#extend
http://www.hozo.jp/owl/YAMATO101215.owl#left-right is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#structure_r
http://www.hozo.jp/owl/YAMATO101215.owl#left-right is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#front-rear
http://www.hozo.jp/owl/YAMATO101215.owl#realization-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#occurrence-of
http://www.hozo.jp/owl/YAMATO101215.owl#realization-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#is-a
http://www.hozo.jp/owl/YAMATO101215.owl#realization-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#generated-by
http://www.hozo.jp/owl/YAMATO101215.owl#realization-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#instance-of
http://www.hozo.jp/owl/YAMATO101215.owl#_G_ is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#_T_
http://www.hozo.jp/owl/YAMATO101215.owl#_G_ is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#_C_
http://www.hozo.jp/owl/YAMATO101215.owl#_G_ is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#_A_
http://www.hozo.jp/owl/YAMATO101215.owl#hand_drawn_image is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#photo
http://www.hozo.jp/owl/YAMATO101215.owl#length_time is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#quantity_time
http://www.hozo.jp/owl/YAMATO101215.owl#length_time is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#times_time
http://www.hozo.jp/owl/YAMATO101215.owl#Context is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Concept
http://www.hozo.jp/owl/YAMATO101215.owl#shrink is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#extend
http://www.hozo.jp/owl/YAMATO101215.owl#_T_ is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#_C_
http://www.hozo.jp/owl/YAMATO101215.owl#_T_ is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#_A_
http://www.hozo.jp/owl/YAMATO101215.owl#occurrence-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#is-a
http://www.hozo.jp/owl/YAMATO101215.owl#occurrence-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#generated-by
http://www.hozo.jp/owl/YAMATO101215.owl#occurrence-of is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#instance-of
http://www.hozo.jp/owl/YAMATO101215.owl#unit_of_area is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#unit_of_frequency
http://www.hozo.jp/owl/YAMATO101215.owl#structure_r is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#front-rear
http://www.hozo.jp/owl/YAMATO101215.owl#walking is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#sitting
http://www.hozo.jp/owl/YAMATO101215.owl#discuss is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#debate
http://www.hozo.jp/owl/YAMATO101215.owl#_C_ is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#_A_
http://www.hozo.jp/owl/YAMATO101215.owl#water is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#air
http://www.hozo.jp/owl/YAMATO101215.owl#thermal_expansion_rate is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#conductivity
http://www.hozo.jp/owl/YAMATO101215.owl#quantity_time is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#times_time
http://www.hozo.jp/owl/YAMATO101215.owl#region is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#land
http://www.hozo.jp/owl/YAMATO101215.owl#concrete_relation is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#human_relation
http://www.hozo.jp/owl/YAMATO101215.owl#natural_artificial is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#autonomy
http://www.hozo.jp/owl/YAMATO101215.owl#grow is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#warm
http://www.hozo.jp/owl/YAMATO101215.owl#is-a is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#generated-by
http://www.hozo.jp/owl/YAMATO101215.owl#is-a is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#instance-of
http://www.hozo.jp/owl/YAMATO101215.owl#generated-by is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#instance-of
